24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Card Name,Short Name,Types,Attack Type,Damage Type,Damage,Minimum Range,Range,Move Points,Duration,Trigger,Keep,Trigger Effect,Trigger 2,Keep 2,Trigger Effect 2,Text,Flavor Text,Play Text,Trigger Text,Trigger Attempt Text,Trigger Succeed Text,Trigger Fail Text,Trigger Text 2,Trigger Attempt Text 2,Trigger Succeed Text 2,Trigger Fail Text 2,Component1,Params1,Component2,Params2,Component3,Params3,Component4,Params4,Component5,Params5,Params,Plus Minus,Quality,Quality Warrior,Quality Priest,Quality Wizard,Quality Dwarf,Quality Elf,Quality Human,Rarity,Function Tags,Attachment Image,Status,Audio Key,Audio Key 2,Set,Level,Slots,Art,,,,,,,,
24,Solid Wood,,Armor,,,,,,,,4,0,Armor,,,,,,,<u>Armor 3</u>. This Armor doesn't prevent Fire damage. <u>Keep</u>.,<tta> is *resistant to damage*-,,,,,,,TriggeredArmorComponent,damageReduction=3;excludeDamageTypes=Fire,,,,,,,,,unplayable,,C,,,,,,,Common,,,Implemented,ARMOR,,0,,,Done,,,,,,,,
25,Spiked Mail,,Armor,,,,,,,,4,0,Armor,,,,,,,"<u>Armor 2</u>. If this Armor prevents damage from a Melee Attack, the attacker takes 2 Piercing damage. <u>Keep</u>.",<tta> is wearing *armor*-,<tta> *spikes*  <tta_herhis> attacker.,,,,,,TriggeredArmorComponent,damageReduction=2;damageAttacker=2;damageAttackerAttackTypes=Melee;damageAttackerDamageType=Piercing,,,,,,,,,unplayable,,B,B,B,B,,,,Uncommon,,,Implemented,ARMOR,,0,5,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
26,Thickened Mail,Thick. Mail,Armor,,,,,,,,5,0,Armor,,,,,"Mainly thickened with wool, it is nonetheless effective against most weapons.",,<u>Armor 4</u>. <u>Keep</u>.,<tta> is wearing *armor*-,,,,,,,TriggeredArmorComponent,damageReduction=4,,,,,,,,,unplayable,,C,C,C,C,,,,Common,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor",Done,,,,,,,,
27,Tough Bark,,Armor,,,,,,,,0,0,Armor,3,0,Armor,,,,This Armor grants <u>Immunity</u> to Piercing and Slashing. <u>Keep</u>.,<tta> is *resistant* to damage -,,,<u>Armor 2</u>. <u>Keep</u>.,<tta> is *resistant* to damage -,,,TriggeredArmorComponent,"damageReduction=0;invulnerableDamageType=Piercing,Slashing",TriggeredArmorComponent,damageReduction=2;altTrigger,,,,,,,unplayable,,B,,,,,,,Common,,,Implemented,ARMOR,ARMOR,0,,,Done,,,,,,,,
28,Tough Hide,Tough Hide,Armor,,,,,,,,4,0,Armor,,,,,"Some creatures of the depths develop thick, scabrous skin that can prove as difficult to breach as iron. Why they do is what you should be worried about.",,<u>Armor 2</u>. <u>Keep</u>.,<tta> is *resistant* to damage -,,,,,,,TriggeredArmorComponent,damageReduction=2,,,,,,,,,unplayable,,C,,,,,,,Common,,,Implemented,ARMOR,,0,,,done,,,,,,,,
29,Toughness,,Armor,,,,,,,,0,8,Armor,,,,,"It is not clear if Dwarves are immune to pain, or just too slow to notice it right away.",,"This Armor grants <u>Immunity</u> to any one damage source. When this Armor prevents damage, draw a card.",<tta> is resistant to damage -,<tta> *toughs it out!*,,,,,,TriggeredArmorComponent,invulnerable;selfDrawNumber=1,,,,,,,,,unplayable,,A,A,A,B,,,,Common,,,Implemented,ARMOR,,0,6,Dwarf Skill,Done,,,,,,,,
30,Weakened Armor,Weak Armor,Armor,,,,,,,,4,0,Armor,,,,,"""Yes, there are better suits out there, but not at this price!"" -Skonn Mosstoes",,<u>Armor 2</u>. This Armor doesn't prevent damage from Attacks behind you. <u>Keep</u>.,<tta> is *wearing armor*-,,,,,,,TriggeredArmorComponent,damageReduction=2;weakBehind,,,,,,,,,unplayable,,D,D,D,D,,,,Uncommon,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
31,Arcane Aura,,"Armor,Boost",,,,,,,,4,8,Armor,0,0,Boost,,,,<u>Armor 1</u>.,<tta> *has a magic aura -*,,,Add 2 damage to any damaging Magic card you play. <u>Keep</u>.,,<tc> increases the damage!,,TriggeredArmorComponent,damageReduction=1;discardRoll=5,DamageAddComponent,attackType=Magic;add=2;altTrigger,,,,,,,unplayable,,A,D,C,A,,,,Common,,,Implemented,ARMOR,BOOST,0,5,Robes,Done,,,,,,,,
32,Frenzy Aura,Frenzy Aura,"Armor,Boost",,,,,,,,4,8,Armor,0,0,Boost,,,<aia> is *frenzied*,<u>Armor 2</u>. ,<tta> has a *frenzied glow*,,,"<u>Melee Frenzy 3</u>, add <u>Penetrating</u> to any Melee attack you play, <u>Keep</u>.",is in a *frenzy*,<tta> *strikes even harder*!,,TriggeredArmorComponent,damageReduction=2,DamageAddComponent,attackType=Melee;add=3;addPenetration;altTrigger,,,,,,,unplayable,,A,A,B,D,,,,Uncommon,,,Implemented,ARMOR,BOOST,0,5,"Heavy Armor,Divine Armor,Dwarf Skill,Martial Skill",Done,,,,,,,,
33,Horned Plates,,"Armor,Boost",,,,,,,,4,8,Armor,0,0,Boost,,,,<u>Armor 3</u>.,<tta> is wearing *armor* -,,,"<u>Melee Frenzy 3</u>, <u>Keep</u>.",,,,TriggeredArmorComponent,damageReduction=3,DamageAddComponent,attackType=Melee;add=3;altTrigger,,,,,,,unplayable,,A,A,B,D,,,,Common,,,Implemented,ARMOR,BOOST,0,5,"Heavy Armor,Divine Armor",Done,,,,,,,,
34,Ogre Gauntlets,Ogre Gauntlets,"Armor,Boost",,,,,,,,5,8,Armor,0,0,Boost,,,,<u>Armor 2</u>. ,<tta> is wearing armor -,,,"Whenever you play a Melee Attack, add 3 damage and <u>Penetrating</u> to that Attack. <u>Keep</u>.",,<tc> *lends strength* to the attack!,,TriggeredArmorComponent,damageReduction=2,DamageAddComponent,attackType=Melee;add=3;addPenetration;altTrigger,,,,,,,unplayable,,B,,,,,,,Common,,,Implemented,ARMOR,BOOST,0,,,HOLD,,,,,,,,
35,Demon Hide,,"Armor,Move",,,,,,1,,3,0,Armor,,,,,"Even when turned into leather, the hide of the Demon never ceases to... move.",<aia> *lumbers*.,<u>Armor 2</u>. <u>Keep</u>.,<tta> is resistant to damage -,,,,,,,TriggeredArmorComponent,damageReduction=2,MoveComponent,,,,,,,,,,C,,,,,,,Common,,,Implemented,WALK,ARMOR,0,,,Done,,,,,,,,
36,Dynamic Armor,Dynam. Armor,"Armor,Move",,,,,,4,,4,0,Armor,,,,,"So light, it practically moves for you.",<aia> *moves dynamically*,<u>Armor 3</u>. <u>Keep</u>.,<tta> is wearing *armor*-,,,,,,,MoveComponent,,TriggeredArmorComponent,damageReduction=3,,,,,,,,,A,A,A,B,,,,Uncommon,,,Implemented,RUN,ARMOR,0,8,"Heavy Armor,Divine Armor",Done,,,,,,,,
37,Hidebound,,"Armor,Move",,,,,,1,,3,0,Armor,,,,,Tougher than leather,<aia> *lumbers*.,<u>Armor 2</u>. <u>Keep</u>.,<tta> is resistant to damage -,,,,,,,TriggeredArmorComponent,damageReduction=2,MoveComponent,,,,,,,,,,C,,,,,,,Common,,,Implemented,WALK,ARMOR,0,,,Done,,,,,,,,
38,Thick Hide Armor,Thick Hide Ar.,"Armor,Move",,,,,,1,,3,0,Armor,,,,,Tough as steel and keeps you warm!,,<u>Armor 2</u>. <u>Keep</u>.,<tta> is wearing *armor*-,,,,,,,TriggeredArmorComponent,damageReduction=2,MoveComponent,,,,,,,,,,C,C,C,C,,,,Common,,,Implemented,WALK,ARMOR,0,1,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
39,Flight Aura,,"Armor,Boost",,,,,,,,4,0,Armor,0,0,Move,,,,<u>Armor 1</u>. <u>Keep</u>.,<tta> has a *magic aura* -,,,"Whenever you play a Move card, add <u>Fly</u> to that card. Does not affect Step moves. <u>Keep</u>.",,<tta> *flies through the air*!,,TriggeredArmorComponent,damageReduction=1,MoveBoostComponent,fly;altTrigger;excludeSteps,,,,,,,unplayable,,B,B,B,B,,,,Uncommon,,,Implemented,ARMOR,BOOST,0,17,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Martial Skill",Done,,,,,,,,
40,Heavy Armor,,"Armor,Boost",,,,,,,,2,0,Armor,0,0,Move,,,,<u>Armor 3</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,<u>Encumber 1</u>. <u>Keep</u>.,,<tta> is slowed by <tta_HerHis> *heavy armor*.,,TriggeredArmorComponent,damageReduction=3,EncumberComponent,encumber=1;altTrigger,,,,,,,unplayable,-,B,B,C,D,,,,Common,,,Implemented,ARMOR,DRAWBACK,0,12,"Heavy Armor,Divine Armor",Done,,,,,,,,
41,Rushing Aura,,"Armor,Boost",,,,,,,,3,8,Armor,0,0,Move,,,,<u>Armor 1</u>.,<tta> has a *magic aura* -,,,"Whenever you play a Move card, add 2 to its Move Points. Does not affect Step moves. <u>Keep</u>.",,<tc> lets you move further!,,TriggeredArmorComponent,damageReduction=1,MoveBoostComponent,moveBoost=2;altTrigger;excludeSteps,,,,,,,unplayable,,C,C,C,C,,,,Uncommon,,,Implemented,ARMOR,BOOST,0,12,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Martial Skill",Done,,,,,,,,
42,Arrogant Armor,Arrog. Armor,"Armor,Boost",,,,,,,,4,0,Armor,0,0,Special,,,,<u>Armor 3</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,"If a card would be attached to you, discard that card instead. <u>Keep</u>.",,<ttas> *armor* keeps <tta_HerHim> unsullied by outside effects.,,TriggeredArmorComponent,damageReduction=3,ProhibitAttachmentsComponent,altTrigger,,,,,,,unplayable,,B,B,B,C,,,,Rare,,,Implemented,ARMOR,BOOST,0,12,"Heavy Armor,Divine Armor",Done,,,,,,,,
43,Wizard's Hat,,"Armor,Boost",,,,,,,,4,8,Armor,0,0,Special,,,,<u>Armor 1</u>.,<tta> is wearing a *fancy hat*-,,,"At the start of each round, draw a card. If that card isn't a Magic card discard it. Repeat until you have drawn a Magic card or 6 cards. <u>Keep</u>.",,<tta> *searches for magic*!,,TriggeredArmorComponent,damageReduction=1,DrawCardTypeTriggerComponent,attackType=Magic;count=1;limit=6;reshuffle;altTrigger,,,,,,,unplayable,,AA,C,A,AA,,,,Rare,,,Implemented,ARMOR,BOOST,0,22,Robes,Done,,,,,,,,
44,Armor Practice,Armor Prac.,Assist,,,,,,,,,,,,,,Draw a card. Discard that card unless it is an Armor card. Repeat until you have drawn two Armor cards or drawn 6 cards.,"""Wait a moment... I have just the breastplate for this occasion...""",<aia> goes *searching for armor cards*,,,,,,,,,SelfTargetComponent,,DrawCardTypeEffectComponent,cardType=Armor;count=2;limit=6;reshuffle,,,,,,,,,AA,AA,A,B,,,,Common,,,Implemented,GOOD_TRAIT,,0,33,Martial Skill,Done,,,,,,,,
45,Attack Skill,,Assist,,,,,,,,,,,,,,Draw a card. Discard that card unless it is an Attack card. Repeat until you have drawn two Attack cards or drawn 6 cards.,"""The best offence, is a good offence."" -Yosik Songsword",<aia> goes *searching for attack cards*,,,,,,,,,SelfTargetComponent,,DrawCardTypeEffectComponent,cardType=Attack;count=2;limit=6;reshuffle,,,,,,,,,AA,AA,A,A,,,,Common,,,Implemented,GOOD_TRAIT,,0,33,Martial Skill,Done,,,,,,,,
46,Backfiring Breath,Backfiring Br.,Assist,Magic,Electrical,,,,,,,,,,,,You take 3 Electrical damage. Draw a card.,"""And Lo, the beast's breath did fly back along the tips of it's spines, but this only seemed to feed it's fury."" -The Saga of Stromm Halkenfjord",<aia> *shocks itself* with its own misfiring breath!,,,,,,,,,DamageSelfComponent,damage=3;damageType=Electrical,DrawOnResolveComponent,,,,,,,,,,E,,,,,,,Common,Harmful,,Implemented,ELECTRICAL,,0,,,Done,,,,,,,,
47,Bless,,Assist,Magic,Holy,,,,,2,,,,,,,"All Squares occupied by allies become Blessed Terrain (at the start of each round, occupant Heals 2 and draws a card). Duration 2.","""Be well, be still."" -Monks of Joleph chant",<aia> bestows *blessings*,,,,,,,,,EveryActorsSquareComponent,filter=allies,AttachToSquareComponent,entryCost=1,AttachedOccupantDrawComponent,drawNumber=1,AttachedHealOccupantComponent,healAmount=2;triggerID=2,,,terrainOnly,,A,A,A,A,,,,Rare,HelpfulTerrain,HolyGround,Implemented,HOLY_TERRAIN,,0,23,"Divine Armor,Divine Item,Divine Weapon,Divine Skill",Done,,,,,,,,
48,Boosted Heal,,"Assist,Boost",Magic,Holy,,,1,,,5,0,Boost,,,,<u>Heal 6</u>. ,Here. Let me help.,<aia> *heals* <ata> ,"If you take damage, Heal yourself 3. <u>Keep</u>.",,<tta> *heals 3 points in response!*,,,,,,TargetActorComponent,,HealComponent,healAmount=6,TriggeredHealComponent,healAmount=3;inHandOnly,,,,,,,B,A,B,B,,,,Uncommon,Helpful,,Implemented,HOLY,,0,13,"Divine Weapon,Divine Armor,Divine Item,Divine Skill",Done,,,,,,,,
49,Armor of Faith,Faith Armor,Assist,Magic,Holy,,,6,,3,0,8,,,,,Attach to target. <u>Armor 3</u>. Discard after use. Duration 3 or until triggered.,"""Faith is tangible, and it will protect you. Briefly."" -Mokad",<aia> bestows *armor of faith* on <ata>.,,,,,,,,,TargetActorComponent,,AttachToTargetComponent,,TriggeredArmorComponent,attachedOnly;damageReduction=3,,,,,,,D,D,D,D,,,,Common,Helpful,,Implemented,HOLY,,0,5,"Divine Armor,Divine Item,Divine Weapon,Divine Skill",Done,,,,,,,,
51,Defense Skill,,Assist,,,,,,,,,,,,,,Draw a card. Discard that card unless it is a Block card. Repeat until you have drawn two Block cards or drawn 6 cards.,,<aia> goes *searching for defense cards*,,,,,,,,,SelfTargetComponent,,DrawCardTypeEffectComponent,cardType=Block;count=2;limit=6;reshuffle,,,,,,,,,AA,AA,AA,AA,,,,Common,,,Implemented,GOOD_TRAIT,,0,33,Martial Skill,done,,,,,,,,
52,Demonic Feedback,Demonic Feed.,Assist,Magic,Unholy,,,6,,,,,,,,,Target draws a card. You take 4 unpreventable Unholy damage.,"Side effects include blistering, swelling, weight gain and unexpected bloating.","<aia> *allows <ata> to draw cards*, at great personal cost.",,,,,,,,,TargetActorComponent,,DrawComponent,drawNumber=1,DamageSelfComponent,damage=4;damageType=Unholy;unpreventable=true,,,,,,,D,D,D,D,,,,Uncommon,Helpful,,Implemented,UNHOLY,,0,7,"Divine Armor,Divine Item,Divine Weapon,Divine Skill",Done,,,,,,,,
53,Demonic Revenge,Demon. Rev.,Handicap,Magic,Unholy,,,,,,,,,,,,<u>Trait</u>. You take 4 unpreventable Unholy damage.,"You mess with the Demons, you get the horns.",<aia> *suffers pain!*,,,,,,,,,DamageSelfComponent,damage=4;damageType=Unholy;unpreventable=true,DrawOnResolveComponent,,,,,,,,trait,,E,E,E,E,,,,Common,Harmful,,Implemented,UNHOLY,,0,5,"Weapon,Boots,Shield,Divine Item,Divine Weapon,Divine Armor,Heavy Armor,Arcane Item,Helmet,Staff",done,,,,,,,,
54,Dwarven Battle Cry,Dwarven Cry,Assist,,,,,,,,,,,,,,Every Dwarf draws a card. <u>Unblockable</u>.,"""At first we laughed. The tiny men moved so clumsily. Then their leader let out a yell and they moved as one. The laughter stopped.""",<aia> *inspires Dwarves.*,,,,,,,,,EveryActorComponent,race=Dwarf;alliesFirst,DrawComponent,drawNumber=1,,,,,,,unblockable,,A,A,A,A,,,,Common,,,Implemented,HORN,,0,6,Dwarf Skill,Done,,,,,,,,
55,Flowering Fungi,Flower. Fungi,Assist,,,,,,,,,,,,,,Every Fungus draws a card.,,<aia> *causes fungus to bloom!*,,,,,,,,,EveryActorComponent,race=Fungus,DrawComponent,drawNumber=1,,,,,,,,,B,,,,,,,Common,,,Implemented,GENERIC_MAGIC,,0,,,HOLD,,,,,,,,
56,Forward Thinking,Fwd. Thinking,Boost,,,,,,,3,,,,,,,<u>Trait</u>. Attach this card to yourself. You retain one more card at the end of each round. Duration 3.,The superior tactician is always one step ahead of his opponent. The winning tactician is two.,<aia> *thinks ahead*,,,,,,,,,AttachToSelfComponent,,ModifyCardRetentionComponent,modify=1,DrawOnResolveComponent,,,,,,trait,,A,A,A,A,,,,Uncommon,,,Implemented,GOOD_TRAIT,,0,9,Human Skill,Done,,,,,,,,
