16,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Equipment Name,Short Name,Rarity,Level,Introductory Level,Total Value,Talent 1,Talent 2,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Slot,Slot Default,Image,Tags,Set,Manual Rarity,Manual Value
83,Vassal's Plate,,Rare,3,12,3,0,-1,Arrogant Armor,Weakened Armor,Superstitious,,,,,,,,Heavy Armor,,Heavy Armor Plate 1,,0,,
84,Old Chainmail,,Common,13,1,13,1,-1,Solid Mail,Solid Mail,Mail,,,,,,,,Heavy Armor,,Heavy Armor Chain 10,,0,,
85,Mail of Absorption,,Rare,16,6,16,1,-1,Grounding Plates,Solid Mail,Mail,,,,,,,,Heavy Armor,,Heavy Armor Scale 7,,0,,
86,Sparking Shell,,Epic,3,3,3,0,-1,Thick Hide Armor,Shimmering Aura,Shimmering Aura,,,,,,,,Heavy Armor,,Heavy Armor Plate 9,,0,,
87,Peasant's Plate,,Rare,1,12,0,0,-1,Arrogant Armor,Ill-fitting Armor,Ill-fitting Armor,,,,,,,,Heavy Armor,,Heavy Armor Plate 7,,0,,
88,Rusty Chainmail,,Uncommon,8,1,8,0,-1,Solid Mail,Mail,Mail,,,,,,,,Heavy Armor,,Heavy Armor Chain 3,,0,,
89,Patchwork Chainmail,Patchwork Mail,Uncommon,5,8,5,0,-1,Crafted Mail,Mail,Ill-fitting Armor,,,,,,,,Heavy Armor,,Heavy Armor Chain 4,,0,,
91,Deathcurse Mail,,Common,15,5,15,1,-1,Enchanted Mail,Solid Mail,Superstitious,,,,,,,,Heavy Armor,,Heavy Armor Scale 5,,0,,
94,Mail of the Martyr,,Uncommon,18,17,18,2,-1,Horned Plates,Martyr Blessing,Martyr Blessing,,,,,,,,Divine Armor,,Divine Armor Robed 10,,0,,
97,Untouchable Plate,,Epic,15,12,15,1,-1,Arrogant Armor,Arrogant Armor,Holy Armor,,,,,,,,Divine Armor,,Divine Armor Roman 4,,0,,
102,St. Temrun's Chainmail,St. Temrun's Mail,Uncommon,17,11,17,1,-1,Crafted Mail,Crafted Mail,Holy Armor,,,,,,,,Divine Armor,,Divine Armor Roman 5,,0,,
104,Sparkling Mail,,Common,16,11,16,1,-1,Holy Armor,Mail,Healing Rays,,,,,,,,Divine Armor,,Divine Armor Roman 10,,0,,
106,Mail of the Prophet,Mail of the Prophet,Common,17,17,17,1,-1,Inspiring Armor,Crafted Mail,Surestrike Blessing,,,,,,,,Divine Armor,,Divine Armor Robed 7,,0,,
107,Holy Breastplate,,Uncommon,9,11,9,1,-1,Holy Armor,Holy Armor,Holy Armor,,,,,,,,Divine Armor,,Divine Armor Roman 10,,0,,
110,Seething Armor,,Uncommon,11,11,11,1,-1,Crafted Mail,Crafted Mail,Demonic Miasma,,,,,,,,Divine Armor,,Divine Armor Robed 9,,0,,
111,Holy Chainmail,,Rare,4,3,4,0,-1,Healing Pulse,Shimmering Aura,Mail,,,,,,,,Divine Armor,,Divine Armor Robed 8,,0,,
112,Mail of the Novice,,Rare,3,12,3,0,-1,Arrogant Armor,Misguided Heal,Ill-fitting Armor,,,,,,,,Divine Armor,,Divine Armor Roman 8,,0,Rare,
113,Unholy Nimbus,,Legendary,3,3,3,0,-1,Chain Harness,Unholy Frenzy,Unholy Frenzy,,,,,,,,Divine Armor,,Divine Armor Studded 3,,0,,
114,Holy Leather Armor,,Rare,1,11,0,0,-1,Holy Armor,Shimmering Aura,Ill-fitting Armor,,,,,,,,Divine Armor,,Divine Armor Studded 10,,0,Rare,
127,Slippery Shield,,Rare,18,6,18,2,-1,Hard to Pin Down,Hard to Pin Down,Hard to Pin Down,,,,,,,,Shield,,Shield Wedge 2,,0,,
134,Steel Shield,,Rare,18,6,18,2,-1,Shield Block,Surging Shield Block,Block,,,,,,,,Shield,,Shield Metal 1,,0,,
135,Spiked Shield,,Epic,15,6,15,1,-1,Surging Shield Block,Surging Shield Block,Lunging Thrust,,,,,,,,Shield,,Shield Basic 8,,0,,
138,Steel-rimmed Buckler,Steel Buckler,Rare,12,6,12,1,-1,Surging Shield Block,Parry,Parry,,,,,,,,Shield,,Shield Round 1,,0,,
139,Shield of the Frog,,Uncommon,12,6,12,1,-1,Hard to Pin Down,Jump Back,Jump Back,,,,,,,,Shield,,Shield Wedge 3,,0,,
140,Wooden Shield,,Rare,12,6,12,1,-1,Surging Shield Block,Block,Block,,,,,,,,Shield,,Shield Round 4,,0,,
142,Oakenheart Shield,,Epic,10,6,10,1,-1,Surging Shield Block,Parry,Subtle Parry,,,,,,,,Shield,,Shield Metal 10,,0,,
143,Cautious Shield,,Common,9,6,9,1,-1,Jump Back,Block,Block,,,,,,,,Shield,,Shield Round 6,,0,,
144,Rusty Buckler,,Rare,9,7,9,1,-1,Dodge,Parry,Parry,,,,,,,,Shield,,Shield Round 3,,0,,
145,Coward's Shield,,Common,7,6,7,0,-1,Weak Block,Weak Block,Jump Back,,,,,,,,Shield,,Shield Round 8,,0,,
148,Energetic Helmet,,Uncommon,12,12,12,1,-1,Rushing Aura,Rushing Aura,Quick Reactions,,,,,,,,Helmet,,Helmet Bucket 19,,0,,
150,Finzi's Horned Helmet,Finzi's Helmet,Uncommon,15,12,15,1,-1,Spiked Mail,Spiked Mail,Rushing Aura,,,,,,,,Helmet,,Helmet Horned 1,,0,,
152,Kathon's Steel Helmet,Kathon's Helmet,Rare,13,6,13,1,-1,Spiked Mail,Mail,Counterspell,,,,,,,,Helmet,,Helmet Bucket 1,,0,,
154,Rusty Spiked Helmet,,Common,3,5,3,0,-1,Spiked Mail,Rusty Armor,Ouch!,,,,,,,,Helmet,,Helmet Knight 3,,0,,
177,Elemental Diadem,,Common,12,5,12,1,-1,Acid Spray,Hot Spot,Hot Spot,,,,,,,,Arcane Item,,DiademOfClouds,,0,,
209,Medallion of St. Vigus,St. Vigus Medallion,Uncommon,18,17,18,2,-1,Impenetrable Nimbus,Impenetrable Nimbus,Healing Blessing,,,,,,,,Divine Item,,Divine Item Medallion 1,,0,,
211,Demon Charm of the 7th Circle,7th Circle Charm,Uncommon,18,9,18,2,-1,Unholy Wellspring,Demonic Power,Bad Luck,,,,,,,,Divine Item,,Divine Item Charm 7,,0,,
215,Healing Ring of the Inner Light,Healing Ring 6,Uncommon,18,2,18,2,-1,Healing Blessing,Healing Blessing,Heal,,,,,,,,Divine Item,,Divine Item ring 9,,0,,
218,Incense of the Caged Demon,Demon Incense,Epic,9,15,9,1,-1,Unholy Energy,Unholy Energy,Demonic Revenge,,,,,,,,Divine Item,,Divine Item Incense 1,,0,,
220,Bishop's Healing Ring,Healing Ring 5,Uncommon,18,13,18,2,-1,Healing Blessing,Heal,Boosted Heal,,,,,,,,Divine Item,,Divine Item ring 6,,0,,
221,Demon Charm of the 5th Circle,5th Circle Charm,Uncommon,9,9,9,1,-1,Demonic Power,Demonic Feedback,Bad Luck,,,,,,,,Divine Item,,Divine Item Charm 5,,0,,
222,Tome of the Martyr,,Uncommon,17,17,17,1,-1,Martyr Blessing,Martyr Blessing,Inspiration,,,,,,,,Divine Item,,Divine Item Tome 1,,0,,
223,Medallion of the Unnamed Saint,Medallion Saint,Uncommon,12,6,12,1,-1,Demonic Power,Cleansing Burst,Demonic Revenge,,,,,,,,Divine Item,,Divine Item Medallion 5,,0,,
225,Healing Ring,,Uncommon,12,2,12,1,-1,Healing Blessing,Heal,Misguided Heal,,,,,,,,Divine Item,,Divine Item ring 3,,0,,
228,Incense of the Nether Fog,Nether Fog Incense,Rare,11,7,11,1,-1,Mass Frenzy,Inspiration,Demonic Feedback,,,,,,,,Divine Item,,Divine Item Incense 3,,0,,
229,Talisman of Ill-Fate,,Uncommon,9,9,9,1,-1,Demonic Power,Bad Luck,Bad Luck,,,,,,,,Divine Item,,Divine Item Talisman 1,,0,,
230,Acolyte's Healing Ring,Healing Ring 3,Uncommon,12,13,12,1,-1,Heal,Boosted Heal,Misguided Heal,,,,,,,,Divine Item,,Divine Item ring 8,,0,,
231,Demon Charm of the 3rd Circle,3rd Circle Charm,Rare,9,7,9,1,-1,Demonic Power,Unholy Frenzy,Demonic Feedback,,,,,,,,Divine Item,,Divine Item Charm 3,,0,,
235,Novice's Healing Ring,Healing Ring 2,Uncommon,6,3,6,0,-1,Heal,Misguided Heal,Curse of Fragility,,,,,,,,Divine Item,,Divine Item ring 4,,0,,
236,Demon Charm of the 2nd Circle,2nd Circle Charm,Uncommon,6,11,6,0,-1,Demonic Power,Demonic Feedback,Demonic Miasma,,,,,,,,Divine Item,,Divine Item Charm 2,,0,,
237,Weathered Prayer Beads,Weathered Beads,Uncommon,9,9,9,1,-1,Consecrate Ground,Cleansing Presence,Cleansing Presence,,,,,,,,Divine Item,,Divine Item Beads 1,,0,,
238,Tome of the Withering Source,Withering Tome,Common,3,5,3,0,-1,Unholy Wellspring,Demonic Revenge,Demonic Revenge,,,,,,,,Divine Item,,Divine Item Tome 5,,0,,
240,Neophyte's Healing Ring,Healing Ring 1,Uncommon,3,5,3,0,-1,Healing Blessing,Misguided Heal,Demonic Revenge,,,,,,,,Divine Item,,Divine Item ring 6,,0,,
242,Tarnished Prayer Beads,Tarnished Beads,Common,2,6,2,0,-1,Inspiration,Surestrike Blessing,Cowardly,,,,,,,,Divine Item,,Divine Item Beads 5,,0,,
244,Poisoned Relic,,Rare,6,3,6,0,-1,Heal,Curse of Fragility,Unholy Frenzy,,,,,,,,Divine Item,,Divine Item Relic 1,,0,,
245,Ironwood Staff of the Magus,Ironwood Staff,Rare,18,6,36,2,2,Obliterating Spark,Penetrating Bolt,Surging Bolt,Nimble Strike,Desperate Block,Parry,,,,,Staff,,Staff Runed 2,,0,,
253,Maple Staff of the Magus,Maple Staff,Uncommon,12,9,24,1,1,Surging Bolt,Sorcerous Bolt,Sorcerous Bolt,Simple Bash,Desperate Block,Jarring Block,,,,,Staff,,Staff Simple 5,,0,,
257,Staff of Glowing Coals,Staff of Coals,Epic,10,15,20,1,1,Volcano,Ember Burst,Simple Bash,Firestorm,Burning Fingers,Fire Spray,,,,,Staff,,Staff Runed 3,,0,,
258,Oaken Staff of the Magus,Oaken Staff,Rare,10,6,21,1,1,Sorcerous Bolt,Sorcerous Bolt,Sorcerous Bolt,Simple Bash,Surging Shield Block,Parry,,,,,Staff,,Staff Charmed 1,,0,,
259,Sapphire Warstaff,,Rare,12,5,25,1,1,Able Bash,Able Bash,Bash,Potent Spark,Long Spark,Long Spark,,,,,Staff,,Staff Battle 2,,0,,
260,Staff of Guttering Flames,Staff of Guttering,Rare,6,2,13,0,0,Potent Spark,Fire Spray,Burning Fingers,Burning Fingers,Ember Spray,Simple Bash,,,,,Staff,,Staff Charmed 2,,0,,
262,Opal Battlestaff,,Common,9,5,19,1,1,Powerful Spark,Powerful Spark,Long Spark,Penetrating Bolt,Bash,Bash,,,,,Staff,,Staff Charmed 5,,0,,
263,Cherry Staff of the Magus,Cherry Staff,Rare,7,6,15,1,0,Sorcerous Bolt,Sorcerous Bolt,Spark,Arcane Curse,Surging Shield Block,Block,,,,,Staff,,Staff Simple 3,,0,,
264,Jade Battlestaff,,Common,6,5,13,0,0,Sorcerous Bolt,Spark,Long Spark,Bash,Bash,Simple Bash,,,,,Staff,,Staff Simple 2,,0,,
266,Balsa Staff of the Magus,Balsa Staff,Common,9,3,18,1,1,Surging Bolt,Unstable Bolt,Sorcerous Bolt,Block,Block,Arcane Curse,,,,,Staff,,Staff Wooden 1,,0,,
270,Boots of the Cheetah,Boots of Cheetah,Common,15,12,15,1,-1,Sprint,Spin Around,Rushing Aura,,,,,,,,Boots,,Boots Mesh 9,,0,,
275,Crazy Fast Boots,,Common,9,5,9,1,-1,Sprint,Sprint,Trip,,,,,,,,Boots,,Boots Pointy 3,,0,,
276,Steel Boots of the Bull,Stell Bool Boots,Rare,18,9,18,2,-1,Muscle Through,Charge,Reliable Mail,,,,,,,,Boots,,Boots Plate 1,,0,,
277,Magic Monkey Boots,Magic Mky. Boots,Rare,18,16,18,2,-1,Scamper,Team Shift,Dangerous Maneuver,,,,,,,,Boots,,Boots Mesh 8,,0,,
279,Hide Boots of the Bull,Hide Bull Boots,Uncommon,15,9,15,1,-1,Muscle Through,Charge,Thick Hide Armor,,,,,,,,Boots,,Boots Leather 7,,0,,
280,Crafted Monkey Boots,Crafted Mky. Boots,Rare,15,16,15,1,-1,Scamper,Sprint,Dangerous Maneuver,,,,,,,,Boots,,Boots Mesh 1,,0,,
282,Cloth Boots of the Bull,Cloth Bull Boots,Uncommon,12,9,12,1,-1,Muscle Through,Charge,Cloth Armor,,,,,,,,Boots,,Boots Leather 6,,0,,
287,Lurker's Boots,,Rare,11,6,11,1,-1,Escaping Run,Cautious Sneak,Thick Hide Armor,,,,,,,,Boots,,Boots Pointy 9,,0,,
290,Rotting Leather Boots,Rotting Boots,Uncommon,3,1,3,0,-1,Run,Weakened Armor,Weakened Armor,,,,,,,,Boots,,Boots Leather 9,,0,,
300,Cotton Wizard's Robes,Cotton W. Robes,Common,17,5,17,1,-1,Arcane Aura,Arcane Aura,Little Zap,,,,,,,,Robes,,robes peasant 1,,0,,
302,Cursed Wizard's Robes,Cursed W. Robes,Common,15,5,15,1,-1,Arcane Aura,Arcane Aura,Brain Burn,,,,,,,,Robes,,robes cape 2,,0,,
314,Demon's Golden Blade,Golden Blade,Epic,16,7,33,2,1,Obliterating Chop,Obliterating Chop,Obliterating Chop,Unholy Wellspring,Demonic Feedback,Demonic Revenge,,,,,Divine Weapon,,Divine blade 2,,0,,
318,Supplicant's Hammer,Supplicant Hammer,Common,13,6,26,1,1,Skillful Strike,Skillful Strike,Bash,Simple Bash,Inspiration,Purge,,,,,Divine Weapon,,Divine Hammer 1,,0,,
322,Hallowed Axe,,Uncommon,15,9,31,2,1,Chop,Chop,Chop,Clumsy Chop,Consecrate Ground,Consecrate Ground,,,,,Divine Weapon,,Divine Axe 1,,0,,
323,Beggar's Maul,,Common,11,6,23,1,1,Skillful Strike,Bash,Simple Bash,Simple Bash,Inspiration,Surestrike Blessing,,,,,Divine Weapon,,Divine maul 2,,0,,
324,Hammer of Shrouds,,Common,9,5,18,1,1,Skillful Strike,Bash,Simple Bash,Simple Bash,Surestrike Blessing,Surestrike Blessing,,,,,Divine Weapon,,Divine Hammer 7,,0,,
326,Tarnished Hammer,,Common,9,5,18,1,1,Bash,Bash,Simple Bash,Simple Bash,Surestrike Blessing,Surestrike Blessing,,,,,Divine Weapon,,Divine Hammer 3,,0,,
329,Oaf's Armor,,Uncommon,1,5,-1,0,-1,Mail,Mail,Fumble,,,,,,,,Heavy Armor,,Heavy Armor Scale 9,,0,,
335,Rusty Shield,,Common,2,1,2,0,-1,Weak Block,Flimsy Block,Flimsy Block,,,,,,,,Shield,,Shield Metal 2,noLoot,0,,
344,Misanthrope's Pearl,,Uncommon,1,5,-3,0,-1,Curse of Fragility,Curse of Fragility,Loner,,,,,,,,Divine Item,,Divine Item Beads 4,,0,,
346,Fool's Maul,,Common,1,5,0,0,0,Simple Bash,Simple Bash,Simple Strike,Simple Strike,Dropped Guard,Fright,,,,,Weapon,,Weapon Hammer 6,,0,,
348,Accursed Mace,,Rare,6,11,12,0,0,Simple Bash,Simple Bash,Barge,Barge,Demonic Miasma,Demonic Miasma,,,,,Divine Weapon,,Divine Mace 3,,0,,
353,Pain Hat,,Common,1,5,-3,0,-1,Rusty Armor,Rusty Armor,Demonic Revenge,,,,,,,,Helmet,,Helmet Hood 2,,0,,
356,Unwieldy Staff,,Common,2,5,5,0,0,Powerful Spark,Short Spark,Sorcerous Bolt,Simple Bash,Fumble,Fumble,,,,,Staff,,Staff Wooden 4,,0,,
364,Bare Knuckles,,Common,1,0,-6,0,0,Bludgeon,Bludgeon,Simple Strike,Simple Strike,Weak Strike,Weak Strike,,,,,Weapon,Weapon,Default Item Bare Knuckles,,0,,
365,Bare Hands,,Common,1,0,-3,0,0,Bludgeon,Simple Strike,Simple Strike,Little Zap,Little Zap,Little Zap,,,,,Staff,Staff,Default Item Bare Hands,,0,,
366,Bare Arms,,Uncommon,1,0,0,0,-1,Unreliable Block,Unreliable Block,Unreliable Block,,,,,,,,Shield,Shield,Default Item Bare Arms,,0,,
367,Cloth Shirt,,Uncommon,1,0,0,0,-1,Cloth Armor,Cloth Armor,Cloth Armor,,,,,,,,Heavy Armor,Heavy Armor,Default Item Cloth Shirt,,0,,
368,Cloth Cap,,Uncommon,1,0,0,0,-1,Cloth Armor,Cloth Armor,Cloth Armor,,,,,,,,Helmet,Helmet,Default Item Cloth Cap,,0,,
369,Bare Feet,,Uncommon,3,0,3,0,-1,Walk,Walk,Walk,,,,,,,,Boots,Boots,Default Item Plain Boots,,0,,
370,Empty Pouch,,Common,1,0,-2,0,-1,Zap,Little Zap,Little Zap,,,,,,,,Arcane Item,Arcane Item,Default Item Empty Pouch,,0,,
371,Bare Fists,,Common,1,0,0,0,0,Bludgeon,Bludgeon,Simple Strike,Simple Strike,Unreliable Block,Unreliable Block,,,,,Divine Weapon,Divine Weapon,Default Item Bare Fist,,0,,
372,Cloth Robe,,Uncommon,1,0,0,0,-1,Cloth Armor,Cloth Armor,Cloth Armor,,,,,,,,Robes,Robes,Default Item Cloth Robe,,0,,
373,Cloth Vest,,Uncommon,1,0,0,0,-1,Cloth Armor,Cloth Armor,Cloth Armor,,,,,,,,Divine Armor,Divine Armor,Default Item Cloth Vest,,0,,
374,Empty Pockets,,Common,1,0,0,0,-1,Minor Heal,Minor Heal,Armor of Faith,,,,,,,,Divine Item,Divine Item,Default Item Empty Pockets,,0,,
376,Carved Staff,,Common,9,1,18,1,1,Powerful Spark,Spark,Spark,Simple Bash,Block,Block,,,,,Staff,,Staff Runed 4,,0,,
377,Simple Wooden Shield,,Uncommon,9,1,9,1,-1,Block,Block,Block,,,,,,,,Shield,,Shield Round 2,,0,,
382,Glowing Jewel,,Uncommon,16,5,16,1,-1,Gusts of War,Hot Spot,Acid Blast,,,,,,,,Arcane Item,,Arcane Items Jewel_2,,0,,
385,Citrine Amulet,,Uncommon,8,11,8,0,-1,Forgetfulness,Big Zap,Big Zap,,,,,,,,Arcane Item,,Arcane Items Amulet 3,,0,,
386,Mithril Mesh Slippers,,Epic,15,16,15,1,-1,Scamper,Dangerous Maneuver,Reliable Mail,,,,,,,,Boots,,Boots Mesh 6,,0,,
387,Muscle Boots,,Common,15,9,15,1,-1,Muscle Through,Run,Run,,,,,,,,Boots,,Boots Pointy 7,,0,,
388,Arcanist's Staff,,Uncommon,10,3,21,1,1,Penetrating Bolt,Surging Bolt,Sorcerous Blast,Powerful Spark,Bungled Bolt,Bungled Bolt,,,,,Staff,,Staff Magician 3,,0,,
392,Shimmerwing Robe,,Epic,12,17,12,1,-1,Shimmering Aura,Shimmering Aura,Flight Aura,,,,,,,,Robes,,robes long 1,,0,,
393,Copper Spear,,Uncommon,18,2,36,2,2,Skillful Strike,Strong Stab,Strong Stab,Strong Stab,Strong Stab,Strong Stab,,,,,Weapon,,Weapon-Blistering-Spear,,0,,
395,Weighted Cudgel,,Uncommon,15,8,30,2,1,Devastating Blow,Devastating Blow,Devastating Blow,Bash,Simple Bash,Simple Bash,,,,,Weapon,,Weapon Spiked Club 3,,0,,
396,Sharpened Pick,,Uncommon,10,13,20,1,1,Penetrating Stab,Vicious Thrust,Tricky Stab,Tricky Stab,Stab,Stab,,,,,Weapon,,Pick,,0,,
397,Burnished Blade,,Uncommon,10,5,20,1,1,Dancing Cut,Dancing Cut,Dancing Cut,Chop,Chop,Backbiting Strike,,,,,Weapon,,Weapon Shortsword 4,,0,,
399,Reflecting Staff,,Uncommon,8,3,16,1,0,Long Spark,Unstable Bolt,Unstable Bolt,Missile Block,Missile Block,Missile Block,,,,,Staff,,Staff Runed 5,,0,,
400,Short Blasting Staff,,Uncommon,12,6,24,1,1,Surging Bolt,Surging Bolt,Sorcerous Bolt,Sorcerous Bolt,Sorcerous Bolt,Parry,,,,,Staff,,Staff Metal 2,,0,,
401,Black Leather Boots,,Common,9,12,9,1,-1,Run,Run,Rushing Aura,,,,,,,,Boots,,Boots Leather 2,,0,,
403,Oversized Pick,,Rare,7,5,15,1,0,Impaling Stab,Raging Strike,Raging Strike,Raging Strike,Raging Strike,Large Weapon,,,,,Weapon,,Weapon Pick 2,,0,,
404,Sturdy Rapier,,Common,13,3,27,2,1,Strong Stab,Strong Stab,Strong Stab,Lunging Thrust,Lunging Thrust,Lunging Thrust,,,,,Weapon,,Rapier,,0,,
405,Hammer of Bashing,,Rare,18,5,36,2,2,Bash,Bash,Bash,Bash,Bash,Bash,,,,,Weapon,,Hammer,,0,,
406,Trickster's Blade,,Epic,9,13,18,1,1,Tricky Stab,Tricky Stab,Tricky Stab,Tricky Stab,Tricky Stab,Tricky Stab,,,,,Weapon,,Sword,,0,,
407,Shield of the Aggressor,,Common,15,6,15,1,-1,Shield Block,Shield Block,Dropped Guard,,,,,,,,Shield,,Shield Metal 8,,0,,
409,Healing Charm,,Uncommon,18,1,18,2,-1,Heal,Heal,Heal,,,,,,,,Divine Item,,Divine Item Healing Charm,,0,,
410,Bad Luck Charm,,Rare,1,9,0,0,-1,Bad Luck,Bad Luck,Bad Luck,,,,,,,,Divine Item,,Divine Item Talisman 5,,0,,
411,Unholy Charm,,Rare,9,9,9,1,-1,Demonic Power,Unholy Frenzy,Bad Luck,,,,,,,,Divine Item,,Divine Item Talisman 4,,0,,
412,Heavy Dashing Boots,,Rare,14,1,14,1,-1,Dash,Dash,Reliable Mail,,,,,,,,Boots,,Boots Pointy 1,,0,,
413,Charging Boots,,Rare,9,6,9,1,-1,Charge,Charge,Shimmering Aura,,,,,,,,Boots,,Boots Pointy 3,,0,,
418,Unbalanced Greatclub,,Rare,14,5,29,2,1,Bash,Bash,Bash,Controlled Overswing,Controlled Overswing,Simple Bash,,,,,Weapon,,Weapon Club 3,,0,,
421,Akon's Amulet,,Common,15,6,15,1,-1,Boiling Armor,Boiling Armor,Dissolve Armor,,,,,,,,Arcane Item,,Arcane Items Amulet 2,,0,,
424,Pine Staff,,Common,11,3,23,1,1,Surging Bolt,Surging Bolt,Sorcerous Bolt,Weak Block,Simple Bash,Simple Bash,,,,,Staff,,Staff Wooden 5,,0,,
425,Staff of Peril,,Epic,6,3,12,0,0,Deadly Spark,Deadly Spark,Deadly Spark,Unstable Bolt,Arcane Curse,Arcane Curse,,,,,Staff,,Staff Metal 9,,0,,
426,Wedge Shield,,Epic,15,6,15,1,-1,Surging Shield Block,Surging Shield Block,Block,,,,,,,,Shield,,Shield Wedge 5,,0,,
